artist,song,time,bpm,year,genre,details,album,track num
Porn Kings,Amour (C'Mon) [DJ Supreme Remix],6:39,136.9,1997,Fast Dance,../track/HOTTRACK_047/HOTTRACK_047-01.html,Hott Tracks 047,1
Porn Kings,Amour,3:26,138.1,1997,Electronica,../track/ALLSTARS_097/ALLSTARS_097-15.html,Dance All Stars 97,15
Zuckerbaby,Andromeda,4:07,88.8,1997,Rock,../track/HOTTROCK_017/HOTTROCK_017-17.html,Hott Rocks 017,17
Zuckerbaby,Andromeda,4:19,88.6,1997,Rock,../track/ZUKRBABY_STD/ZUKRBABY_STD-12.html,Zuckerbaby,12
Jack Jones,Angel Eyes,3:12,99.7,1997,Slow,../track/ULTLOUNG_015/ULTLOUNG_015-16.html,"Ultra Lounge 15: Wild, Cool & Swingin' Too!",16
Richard Marx,Angel's Lullaby,3:58,114.7,1997,Rock/Pop,../track/RICHMARX_GH1/RICHMARX_GH1-07.html,Greatest Hits,7
Daisy Dee,Angel,3:24,133.0,1997,Pop,../track/HOTTRACK_041/HOTTRACK_041-03.html,Hott Tracks 041,3
Joee,Angel,3:44,135.0,1997,Electronica,../track/ALLSTARS_097/ALLSTARS_097-08.html,Dance All Stars 97,8
Joee,Angel,3:41,135.1,1997,Fast Dance,../track/HOTTRACK_057/HOTTRACK_057-01.html,Hott Tracks 057,1
The Mighty Mighty Bosstones,Another Drinkin' Song,3:49,91.3,1997,Rock,../track/MTYBOSST_LFI/MTYBOSST_LFI-07.html,Let's Face It,7
Brian McKnight,Anytime,4:09,129.9,1997,Blues,../track/HOTTRACK_059/HOTTRACK_059-11.html,Hott Tracks 059,11
Mychael Danna,Aphrodisiac,1:44,114.9,1997,Soundtrack,../track/KAMSUTRA_ST1/KAMSUTRA_ST1-04.html,Kama Sutra: A Tale of Love - Original Motion Picture Soundtrack,4
Jon BFeaturing2Pac,Are U Still Down?,4:25,91.1,1997,R&B,../track/HOTTRACK_060/HOTTRACK_060-02.html,Hott Tracks 060,2
Josh Wink,Are You There [Original Remix],8:45,126.9,1997,Blues,../track/HOTTRACK_041/HOTTRACK_041-06.html,Hott Tracks 041,6
Daft Punk,Around the World,7:07,121.3,1997,Electronica,../track/DAFTPUNK_HMW/DAFTPUNK_HMW-07.html,Homework,7
Daft Punk,Around the World,7:05,121.3,1997,Electronica,../track/HOTTRACK_045/HOTTRACK_045-02.html,Hott Tracks 045,2
Daft Punk,Around the World,3:59,121.3,1997,Electronica,../track/POBO1997_002/POBO1997_002-13.html,Promo Only - Best of 1997 - Disc 2,13
Backstreet Boys,As Long as You Love Me [Radio Edit],3:39,98.1,1997,Pop,../track/HOTTRACK_055/HOTTRACK_055-03.html,Hott Tracks 055,3
Faith No More,Ashes to Ashes,3:34,98.8,1997,Rock,../track/HOTTROCK_023/HOTTROCK_023-08.html,Hott Rocks 023,8
Denis Leary,Asshole of the Dance,4:37,103.1,1997,Comedy,../track/DENLEARY_LNL/DENLEARY_LNL-02.html,Lock 'N Load,2
Donna Lewis&Richard Marx,At the Beginning,3:37,93.4,1997,Soundtrack,../track/HOTTRACK_056/HOTTRACK_056-16.html,Hott Tracks 056,16
Richard Marx&Donna Lewis,At the Beginning,3:38,93.4,1997,Soundtrack,../track/HOTSTUFF_005/HOTSTUFF_005-08.html,Dance Time - Hot Stuff - 005,8
Guy Lombardo And His Royal Canadians,Auld Lang Syne,2:09,100.1,1997,Christmas,../track/XMHIPHOL_003/XMHIPHOL_003-12.html,Hip Holiday - Disc 3,12
John Mellencamp,Authority Song,3:49,156.3,1997,Rock,../track/JONMLCMP_GH1/JONMLCMP_GH1-07.html,The Best That I Could Do,7
Our Lady Peace,Automatic Flowers,4:01,88.7,1997,Rock,../track/HOTTROCK_020/HOTTROCK_020-12.html,Hott Rocks 020,12
Our Lady Peace,Automatic Flowers,4:05,88.7,1997,Rock,../track/OURLADYP_CLM/OURLADYP_CLM-02.html,Clumsy,2
Refugee Camp All Stars,Avenues,4:16,103.9,1997,Rap,../track/HOTTRACK_055/HOTTRACK_055-05.html,Hott Tracks 055,5
Refugee Camp All Stars,Avenues,4:18,103.9,1997,TBD,../track/POBO1997_005/POBO1997_005-06.html,Promo Only - Best of 1997 - Disc 5,6
Carlos Morgan,Baby C'Mon,4:28,99.8,1997,Blues,../track/HOTTRACK_049/HOTTRACK_049-09.html,Hott Tracks 049,9
Carlos Morgan,Baby C'Mon,4:28,99.8,1997,Blues,../track/RTHMMETH_002/RTHMMETH_002-02.html,Rhythm Method 2,2
Dinah WashingtonwithBrook Benton,"Baby, You've Got What It Takes",2:44,132.2,1997,Jazz,../track/HOTJAVJZ_001/HOTJAVJZ_001-12.html,Hot Java Jazz,12
The Tea Party,Babylon,2:50,160.2,1997,Rock,../track/HOTTROCK_022/HOTTROCK_022-17.html,Hott Rocks 022,17
Ozzy Osbourne,Back on Earth,4:56,86.0,1997,Rock,../track/HOTTROCK_022/HOTTROCK_022-02.html,Hott Rocks 022,2
Bryan Adams,Back to You,4:30,125.7,1997,Rock,../track/HOTTRACK_058/HOTTRACK_058-13.html,Hott Tracks 058,13
Alannah Myles,Bad for You,3:49,124.1,1997,Rock,../track/HOTTROCK_023/HOTTROCK_023-13.html,Hott Rocks 023,13
Aqua,Barbie Girl,3:13,130.0,1997,Electronica/Pop,../track/ESSENTLS_013/ESSENTLS_013-01.html,The Essential Series (UK) 13,1
Aqua,Barbie Girl,3:13,130.0,1997,Electronica/Pop,../track/HOTTRACK_051/HOTTRACK_051-01.html,Hott Tracks 051,1
